Unnamed: 0,Slope From SSURGO,Slope From USGS Elevation Data,Bulk Density,Slope Length/USLE L Factor,Deepest Soil Horizon Layer,Organic Matter,pH,Saturated Hydraulic Conductivity,7-Day Maximum Precipitation,Runoff,Erodibility,Depth to Upper Horizon Boundary,Total Depth of Soil,2-Month Average Precipitation,62-Day Average Precipitation,Available Water Capacity,Brooks-Corey Theta 33,Hydrologic Group,Longitude,Latitude,Stability,Saturation Difference after Precipitation,Wetting Front,Runoff_CN,Unnamed: 0.1,Aspect,Profile Curvature,Planform Curvature,Curvature
138.0,2.0,0.0,1.45,61.0,19.0,3.5,5.1,28.0,0.0,0.0,1.0,0.0,13.0,36.5,0.6174603174603175,0.3,21.5,1.0,-84.289125,31.454443,1.0,10.9,188.0,0.0,,,,,
44.0,2.0,0.0342863164842128,1.58,,97.0,0.25,8.8,92.0,0.0,5.0,,0.0,8.0,0.0,0.0,0.05,8.6,6.0,-117.429248,38.187025,1.0,7.699999,,0.0,529.0,206.41287,27.243107,9.182805,-18.060303
327.0,2.0,0.124808669090271,1.35,,19.0,11.5,5.0,28.0,0.0,6.0,0.0,0.0,76.0,0.0,0.446031746031746,0.23,33.8,1.0,-78.878121,34.573045,1.0,12.3,66.0,-0.06140350877192979,353.0,186.01358,55.524055,-0.9422367,-56.466293
559.0,40.0,0.1397132724523544,1.38,100.0,19.0,3.0,5.7,92.0,5.8,2.0,,0.0,5.0,70.2,2.730158730158731,0.08,13.9,6.0,-83.595943,45.099933,1.0,6.7,198.0,0.0,468.0,217.48444,1.8214474,0.25284383,-1.5686035
22.0,2.0,0.1457018703222274,1.4,46.0,46.0,1.0,8.0,9.17,0.0,0.0,0.0,46.0,91.0,0.0,0.1857142857142857,0.19,32.1,3.0,-88.586144,41.87768,1.0,13.5,,0.0,335.0,10.410578,1.9201932,-0.71652555,-2.6367188
386.0,1.0,0.2009877562522888,1.32,30.0,55.0,0.6,7.5,0.21,0.0,4.0,1.0,74.0,153.0,0.0,0.0619047619047619,0.1,39.4,6.0,-92.640304,31.324589,1.0,6.300003,23.0,0.0,,,,,
198.0,1.0,0.2149025201797485,1.35,46.0,21.0,12.5,7.0,28.0,0.0,4.0,0.0,0.0,20.0,0.0,0.3793650793650794,0.23,15.4,3.0,-82.627894,28.694041,1.0,7.299999,175.0,0.0,357.0,51.98655,-30.423502,33.862537,64.28604
453.0,1.0,0.2561261057853699,1.5,74.0,6.0,0.2,5.1,2.2,21.6,4.0,0.0,64.0,127.0,95.4,4.034920634920635,0.21,27.4,5.0,-90.480063,36.59758,1.0,15.8,188.0,0.12794440104974833,,,,,
78.0,3.0,0.2569535076618194,1.5,38.0,42.0,0.7,8.2,9.0,4.0,2.0,,46.0,97.0,0.0,0.1888888888888888,0.15,23.7,4.0,-99.130552,47.649937,1.0,14.9,48.0,0.0,386.0,202.52081,27.237299,-3.0956485,-30.332947
357.0,1.0,0.2871503531932831,1.21,30.0,59.0,3.2,8.1,0.2,0.3,4.0,1.0,90.0,146.0,0.0,0.2746031746031746,0.13,43.1,6.0,-95.567311,29.29083,1.0,,203.0,0.0,,,,,
590.0,3.0,0.2911757528781891,1.58,,5.0,0.25,6.7,0.215,22.9,5.0,,20.0,46.0,69.0,2.5761904761904764,0.05,33.2,6.0,-119.7847,36.8242,0.0,,,0.9015752899999999,167.0,122.58664,0.3359164,-2.24053,-2.5764465
353.0,2.0,0.3070308268070221,1.3,304.0,29.0,7.0,5.5,10.0,4.1,2.0,0.0,0.0,3.0,64.53333333333333,0.9301587301587302,0.18,32.8,4.0,-80.606051,33.926171,1.0,3.6,23.0,0.0,403.0,102.85009,-2.1909497,3.7359455,5.926895
263.0,1.0,0.3664302825927734,1.18,30.0,19.0,4.0,7.1,0.5,0.0,4.0,1.0,0.0,29.0,0.0,0.0095238095238095,0.12,43.5,6.0,-95.421719,29.010203,1.0,,,0.0,,,,,
237.0,2.0,0.3756630718708038,1.85,41.0,16.0,0.0,7.9,0.74,13.7,3.0,1.0,91.0,200.0,71.0,1.831746031746032,0.03,21.0,5.0,-84.455654,40.022138,1.0,9.4,45.0,0.0,,,,,
402.0,2.0,0.592711865901947,1.45,122.0,29.0,4.5,6.5,9.17,28.7,3.0,1.0,0.0,20.0,88.33333333333333,3.1412698412698403,0.23,36.1,5.0,-85.010222,41.094124,1.0,10.2,23.0,0.029239447615548746,528.0,129.40494,-35.161797,53.234657,88.396454
55.0,1.0,0.6036562919616699,1.37,61.0,29.0,3.0,5.7,9.0,13.9,2.0,1.0,0.0,16.0,0.0,0.8809523809523809,0.22,24.0,4.0,-97.597616,38.21857,1.0,12.7,20.0,0.0,523.0,107.60464,-2.6900988,-1.9332627,0.75683594
241.0,2.0,0.6392381191253662,1.43,34.0,100.0,0.25,6.5,2.33,29.1,5.0,,117.0,152.0,51.133333333333326,1.7730158730158732,0.2,30.1,5.0,-90.184117,34.229628,1.0,14.2,30.0,1.14566991,294.0,96.33843,-1.0042062,-1.5840402,-0.579834
50.0,1.0,0.6675271391868591,1.4,,61.0,2.0,6.7,0.92,0.0,0.0,,48.0,86.0,0.0,0.0,0.16,35.2,5.0,-98.862813,47.086649,1.0,14.2,48.0,0.0,,,,,
375.0,2.0,0.6688292622566223,1.58,46.0,66.0,0.25,6.5,8.0,9.9,0.0,0.0,173.0,203.0,94.66666666666669,2.846031746031746,0.13,22.5,1.0,-83.362621,29.578306,1.0,10.3,183.0,0.0,,,,,
163.0,1.0,0.6755040287971497,1.46,30.0,61.0,0.95,7.7,2.7,24.3,2.0,1.0,20.0,79.0,63.03333333333333,2.56984126984127,0.17,35.6,4.0,-102.011322,34.163642,1.0,14.9,,0.0,315.0,80.96756,1.0282931,0.9367404,-0.091552734
0.0,1.0,0.7276161313056946,1.13,20.0,19.0,8.5,6.5,0.21,0.3,0.0,0.0,0.0,10.0,0.0,0.5523809523809523,0.19,47.4,6.0,-90.265336,35.366082,1.0,7.300003,183.0,0.0,,,,,
480.0,15.0,0.7322460412979126,1.4,37.0,90.0,0.2,9.5,0.005,0.3,1.0,0.0,10.0,80.0,12.1,0.5238095238095238,0.19,28.8,6.0,-118.505164,39.770446,1.0,13.5,,0.0,,,,,
394.0,1.0,0.7762370705604553,1.37,30.0,28.0,0.0,9.5,0.005,4.3,0.0,0.0,0.0,5.0,45.43333333333334,2.03015873015873,0.1,32.4,6.0,-118.285101,39.85984,1.0,15.3,200.0,0.0,,,,,
324.0,1.0,0.7990833520889282,1.65,30.0,13.0,0.1,8.1,92.0,0.0,0.0,1.0,165.0,200.0,0.0,0.238095238095238,0.04,2.6,6.0,-97.770186,38.038282,1.0,2.4,119.0,0.0,,,,,
426.0,3.0,0.8289412260055542,1.34,91.0,29.0,4.2,6.7,0.055,0.0,4.0,0.0,0.0,23.0,0.0,0.0492063492063492,0.18,32.0,6.0,-83.149866,41.380708,1.0,13.5,23.0,0.0,469.0,192.84015,4.6468596,-0.9042876,-5.5511475
464.0,1.0,0.8462921380996704,1.36,30.0,61.0,1.8,8.0,0.6,1.1,3.0,1.0,13.0,84.0,67.5,2.819047619047619,0.19,34.7,4.0,-102.310953,35.065974,1.0,7.800001,,0.0,366.0,158.80186,19.06623,-24.793633,-43.859863
354.0,2.0,0.875469446182251,1.4,,19.0,1.5,5.8,23.0,22.4,5.0,0.0,0.0,15.0,81.66666666666667,2.3412698412698414,0.21,25.6,1.0,-76.024767,36.286544,1.0,15.4,15.0,0.8818902399999999,456.0,180.52748,-40.648796,-28.085472,12.563324
,,0.9029397368431092,,,,,,,,,,,,,,,,,,,,,,,336.0,124.52049,8.421443,-29.554632,-37.976074
246.0,1.0,0.9076703190803528,1.51,30.0,19.0,1.1,5.1,9.0,12.0,2.0,1.0,0.0,15.0,225.1,5.569841269841271,0.18,15.5,4.0,-96.267507,29.631994,1.0,9.5,203.0,0.0,,,,,
573.0,1.0,0.9488868713378906,1.18,30.0,19.0,4.0,7.1,0.5,2.7,4.0,1.0,0.0,29.0,0.0,0.065079365079365,0.12,43.5,6.0,-95.382023,29.152963,1.0,,,0.0,458.0,228.27797,-0.25289404,0.015660651,0.2685547
413.0,1.0,1.0655018091201782,1.2,30.0,29.0,3.5,5.5,9.0,0.1,0.0,,0.0,23.0,32.53333333333334,1.007936507936508,0.24,29.6,6.0,-99.823426,39.990261,1.0,14.7,98.0,0.0,342.0,328.0906,-11.824288,13.55413,25.378418
393.0,2.0,1.1057674884796145,1.4,116.0,45.0,0.75,7.0,7.7,31.8,2.0,,33.0,53.0,112.33333333333331,4.433333333333334,0.17,28.4,3.0,-86.099051,43.29184,1.0,13.8,15.0,0.0,534.0,107.63639,-20.597527,4.3978963,24.995422
153.0,2.0,1.1122561693191528,1.58,61.0,93.0,0.25,5.3,141.14,31.5,0.0,1.0,10.0,107.0,91.75,3.520634920634921,0.08,6.2,0.0,-81.032158,28.316095,1.0,,203.0,0.0,371.0,49.950024,-0.010799554,7.7040443,7.7148438
282.0,1.0,1.1204841136932373,1.45,75.0,29.0,1.2,5.5,9.0,0.0,2.0,0.0,0.0,8.0,0.0,1.8111111111111111,0.17,27.3,5.0,-90.951313,35.876522,1.0,15.4,187.0,0.0,,,,,
