,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Slope From SSURGO,Slope From USGS Elevation Data,Bulk Density,Slope Length/USLE L Factor,Deepest Soil Horizon Layer,Organic Matter,pH,Saturated Hydraulic Conductivity,7-Day Maximum Precipitation,Runoff,Erodibility,Depth to Upper Horizon Boundary,Total Depth of Soil,2-Month Average Precipitation,62-Day Average Precipitation,Available Water Capacity,Brooks-Corey Theta 33,Hydrologic Group,Longitude,Latitude,Stability,Saturation Difference after Precipitation,Wetting Front,Runoff_CN,event_date,max_1_day_prcp,max_3_day_prcp,max_7_day_prcp,max_14_day_prcp,avg_30_day_prcp,avg_60_day_prcp,avg_90_day_prcp,avg_365_day_prcp,max_1_day_prcp_mean_flux,max_3_day_prcp_mean_flux,max_7_day_prcp_mean_flux,max_14_day_prcp_mean_flux,avg_30_day_prcp_mean_flux,avg_60_day_prcp_mean_flux,avg_90_day_prcp_mean_flux,avg_365_day_prcp_mean_flux,Runoff_CN_Best,max_1_day_prcp_mean_flux_nc,max_3_day_prcp_mean_flux_nc,max_7_day_prcp_mean_flux_nc,max_14_day_prcp_mean_flux_nc,avg_30_day_prcp_mean_flux_nc,avg_60_day_prcp_mean_flux_nc,avg_90_day_prcp_mean_flux_nc,avg_365_day_prcp_mean_flux_nc
0,0,0,1083,1083,1083,30.0,76.35318756103516,1.5,69.0,1.0,1.5,5.6,9.0,2.3,5.0,,0.0,25.0,24.566666666666663,0.8698412698412697,0.16,28.2,6.0,-117.23500108,32.82426656,0.0,14.5,,0.0,1961-12-15,2.3,2.3,2.3,20.8,1.7516129032258063,0.8983606557377048,0.8065934065934065,0.3674863387978142,1.2714729e-07,1.2714729e-07,1.2714729e-07,1.2714729e-07,1.2714731667529122e-07,1.2714733088614596e-07,1.2714734509700065e-07,1.2714734509700065e-07,0.0905512299999999,0.0,0.0,3.342158379382454e-06,1.671079189691227e-06,2.1344249034882523e-06,1.2639717397178174e-06,1.2400539617374307e-06,4.850903678743634e-06
1,1,1,699,699,699,3.0,52.59832000732422,0.98,,1.0,7.5,5.8,28.0,23.9,,,0.0,20.0,199.3333333333333,7.157142857142855,0.14,20.8,3.0,-122.5337,47.4296,0.0,,,,1997-01-19,14.2,23.9,23.9,23.9,9.041935483870969,7.155737704918031,6.268131868131868,3.484153005464481,5.6350037e-16,5.6350037e-16,5.6350037e-16,5.6350037e-16,5.635004736826258e-16,5.635004736826258e-16,5.635004736826258e-16,5.635004736826258e-16,,0.0002088622422888875,0.00017285032663494349,7.407871453324333e-05,4.777111462317407e-05,4.363046900834888e-05,3.525912688928656e-05,3.530344838509336e-05,2.3156469978857785e-05
2,2,2,891,891,891,70.0,67.34699249267578,1.35,,1.0,6.0,5.8,28.0,38.9,,,0.0,13.0,203.66666666666663,8.142857142857142,0.11,17.9,0.0,-122.612,47.2707,0.0,9.0,,,1998-12-28,38.9,38.9,38.9,38.9,6.9548387096774205,8.180327868852459,6.403296703296703,2.981693989071037,5.6350037e-16,5.6350037e-16,5.6350037e-16,5.6350037e-16,5.635004736826258e-16,5.635004736826258e-16,5.635004736826258e-16,5.635004736826258e-16,,7.323265162995085e-05,5.1786613767035306e-05,4.454873487702571e-05,3.271852983743884e-05,6.367995229084045e-05,7.010529225226492e-05,6.217357440618798e-05,3.118177846772596e-05
3,3,3,656,656,656,30.0,62.39031219482422,1.05,,1.0,6.5,6.1,9.0,11.9,,,0.0,13.0,178.33333333333334,6.457142857142856,0.2,28.1,4.0,-122.2374,47.5309,0.0,15.4,12.0,,2006-02-28,14.7,14.7,14.7,14.7,4.358064516129032,6.501639344262294,5.941758241758242,3.1453551912568307,4.7391837e-05,5.5961686e-05,5.5961686e-05,0.0003165893,0.0001264320317053,9.4952697186325e-05,9.62623695582639e-05,4.077825148369451e-05,,0.00011614540562732145,7.901743083493784e-05,9.504416084382683e-05,7.795622514095157e-05,4.336701749707572e-05,4.70447339466773e-05,6.965940701775253e-05,3.805752930929884e-05
4,4,4,1078,1078,1078,99.0,76.32957458496094,0.95,38.0,1.0,25.0,4.3,28.0,,5.0,1.0,0.0,13.0,,0.4887096774193548,0.15,28.3,2.0,-156.098826,20.644348,0.0,11.9,,0.0,2007-07-25,9.4,36.8,46.0,46.0,9.093548387096776,6.396721311475409,5.311235955056179,6.936697247706421,5.12484e-06,8.685681e-06,2.2388906e-05,2.5743078e-05,1.3874314042065332e-05,1.925515653814121e-05,1.99660327325546e-05,2.4657593786057536e-05,0.37007894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,1071,1071,1071,35.0,78.73240661621094,1.36,61.0,2.0,9.0,5.8,50.0,41.4,,,0.0,18.0,143.6,5.59047619047619,0.1,19.6,0.0,-122.34434572,47.64261338,0.0,,,,2007-12-03,89.8,89.8,89.8,89.8,6.9806451612903215,4.480327868852459,3.9494505494505496,2.8672131147540987,5.309666e-05,5.4152966e-05,0.0004170822,0.0004170822,7.681478452909266e-05,5.443243765832125e-05,4.108156373812296e-05,3.395073279469612e-05,,2.2475649529951625e-05,0.00020414167374838144,0.00016839847376104444,0.00011216028360649943,7.27404112694785e-05,5.541297286981717e-05,5.623297693091445e-05,3.580190968932584e-05
6,6,6,787,787,787,25.0,19.95113182067871,1.45,,4.0,0.2,4.9,3.0,66.8,4.0,3.0,23.0,33.0,155.66666666666666,5.06031746031746,0.07,22.1,4.0,-76.9216,38.8162,0.0,9.200001,203.0,0.0,2008-05-11,66.8,66.8,66.8,66.8,8.293548387096774,5.226229508196721,4.503296703296703,2.8161202185792344,1.8655285e-07,1.8655285e-07,0.00011519461,0.0004914236,3.776282294057562e-05,5.677216936897829e-05,4.765137790152968e-05,3.673444391610167e-05,1.350369662128997,1.764657827152405e-05,5.882192908757133e-06,2.520939688110957e-06,1.2604698440554785e-06,9.059449439519085e-06,1.1827235539385583e-05,1.5647477994207293e-05,4.072348019690253e-05
7,7,7,835,835,835,60.0,46.442630767822266,1.25,,1.0,3.5,5.6,9.0,48.5,,,0.0,20.0,134.66666666666666,4.763492063492063,0.19,28.0,2.0,-122.658,45.4291,0.0,13.7,46.0,,2009-01-02,63.2,63.2,63.2,63.2,5.319354838709677,4.440983606557378,3.4065934065934065,2.066393442622951,0.0001705625,0.00041049888,0.00041049888,0.00053610204,0.0001743511405679,0.0001424307273507,0.0001287831839374,5.653386197721233e-05,,0.00036425318103283644,0.00023085682187229395,0.0001608742168173194,9.776323713595048e-05,7.901601202320307e-05,6.331496115308255e-05,4.820938193006441e-05,2.822979149641469e-05
8,8,8,976,976,976,60.0,48.74101257324219,1.25,,1.0,3.5,5.6,9.0,50.0,,,0.0,20.0,47.6,2.109523809523809,0.19,28.0,2.0,-122.6583,45.4284,0.0,13.7,46.0,,2009-01-02,63.2,63.2,63.2,63.2,5.319354838709677,4.440983606557378,3.4065934065934065,2.066393442622951,0.0001705625,0.00041049888,0.00041049888,0.00053610204,0.0001743511405679,0.0001424307273507,0.0001287831839374,5.653386197721233e-05,,0.00036425318103283644,0.00023085682187229395,0.0001608742168173194,9.776323713595048e-05,7.901601202320307e-05,6.331496115308255e-05,4.820938193006441e-05,2.822979149641469e-05
9,9,9,857,857,857,60.0,86.0027084350586,0.93,,1.0,7.0,5.6,9.0,55.4,,,0.0,13.0,213.0666666666667,7.838095238095238,0.18,15.3,2.0,-122.1174,48.8687,0.0,9.4,,,2009-01-07,55.4,55.4,55.4,55.4,9.44516129032258,6.998360655737706,6.86923076923077,3.748633879781421,4.6321224e-05,0.0001553996,0.0001553996,0.00029740442,0.0001140237576616,8.40974571738158e-05,8.465619325743791e-05,4.39488986518621e-05,,0.00027359012165106833,0.00030360600794665515,0.00027036285609938204,0.0001801989710656926,0.00015304356929846108,0.00012783687270712107,0.0001075496620615013,6.123827915871516e-05
10,10,10,1029,1029,1029,25.0,66.2616958618164,0.5,46.0,1.0,3.0,5.6,9.0,16.0,3.0,1.0,102.0,152.0,76.89999999999999,12.085714285714287,0.13,20.0,2.0,-156.12553907,20.81767658,0.0,13.0,,0.0,2009-03-21,5.1,5.1,21.3,55.9,8.080645161290322,8.204918032786885,6.573626373626374,3.6185792349726777,1.01188525e-05,1.4014171e-05,1.4014171e-05,0.00023365623,5.867091257793315e-05,3.51076674252937e-05,2.764777180956912e-05,3.567799581604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,11,671,671,671,2.0,12.459260940551758,1.64,61.0,5.0,0.75,5.2,300.0,38.4,,,0.0,74.0,0.0,1.542857142857143,0.03,6.7,1.0,-122.3856,47.7651,0.0,5.0,200.0,,2009-11-17,,0.0,0.8,26.2,3.92,2.088636363636364,1.3585714285714283,1.0569930069930071,0.00012777229,0.00012777229,0.00030706968,0.000309132,8.743109717776135e-05,6.239317978996957e-05,4.5071743032543285e-05,5.179652587765773e-05,,0.000165151635883376,7.484575326088816e-05,9.215070895152166e-05,9.87515231827274e-05,6.279043736867607e-05,4.418105163495056e-05,3.280676173744723e-05,3.764877692447044e-05
12,12,12,282,282,282,1.0,1.1204841136932373,1.45,75.0,2.0,1.2,5.5,9.0,0.0,2.0,0.0,0.0,8.0,0.0,1.8111111111111111,0.17,27.3,5.0,-90.951313,35.876522,1.0,15.4,187.0,0.0,2010-01-04,0.0,0.0,0.0,113.5,6.595833333333334,3.3803921568627446,4.512676056338028,2.40177304964539,6.827829e-06,0.0006965028,0.0006965028,0.0006965028,9.573257897642365e-05,5.712884448503194e-05,5.633668305048677e-05,4.460895883592884e-05,0.0,0.0,0.0,3.242618276999565e-06,2.0494680939009413e-05,1.4116055353952106e-05,3.433328674873337e-05,3.2158790418179706e-05,3.482510146568529e-05
